City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,catumbela,AO,77.83,clear sky,-12.4314,13.5472,Hotel Do Kamgamba
544,lodwar,KE,89.96,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
546,ikom,NG,86.67,broken clouds,5.9667,8.7063,Reho Farm & Resort
549,wajir,KE,89.56,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
550,kroya,ID,79.2,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
551,belize,BZ,88.12,overcast clouds,17.25,-88.75,Villa San Juan
555,nouadhibou,MR,76.98,overcast clouds,20.931,-17.0347,El Medina
556,carutapera,BR,83.95,few clouds,-1.195,-46.02,Lidera
561,bagumbayan,PH,79.25,broken clouds,17.7227,121.447,Lallayug Brgy.Hall
563,vaitape,PF,80.11,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
564,kikwit,CD,81.66,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
566,aras,ES,81.01,scattered clouds,42.5617,-2.356,Jardines de Viana Spa
567,lefka,CY,80.55,clear sky,35.1106,32.8506,Direk Hotel
572,george town,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
577,singaraja,ID,77.52,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
582,kupang,ID,76.19,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
588,lorengau,PG,80.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
589,natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
591,manokwari,ID,79.7,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
593,tabuk,PH,77.58,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
595,lufilufi,WS,83.01,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
599,rio verde de mato grosso,BR,86.94,overcast clouds,-18.9181,-54.8442,Hotel Valência
600,poro,PH,80.46,overcast clouds,10.6292,124.4087,RMS Travellers Inn
603,bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
604,japura,ID,76.51,broken clouds,-0.3167,102.35,Rumah mbah Jamah
613,providencia,MX,85.6,broken clouds,28.7167,-111.5833,
614,panama city,PA,88.18,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
617,maumere,ID,77.16,overcast clouds,-8.6199,122.2111,Sylvia Hotel
626,luwuk,ID,77.04,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
629,dhidhdhoo,MV,83.3,overcast clouds,6.8833,73.1,Dhidhoo beach
630,si chiang mai,TH,88.95,overcast clouds,17.9564,102.5867,Don Chan Palace Hotel & Convention
645,mandya,IN,75.11,overcast clouds,12.5242,76.8958,Jyothi International Hotel
646,lat yao,TH,85.28,scattered clouds,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
649,mengcheng,CN,76.64,light rain,33.2579,116.5655,Jinliang Hotel
652,dwarka,IN,83.44,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
659,meiktila,MM,81.03,scattered clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
664,south venice,US,88.99,clear sky,27.0531,-82.4243,Rodeway Inn
665,abha,SA,76.82,few clouds,18.2164,42.5053,Abha Hotel
670,balaguer,ES,80.28,overcast clouds,41.7912,0.8109,Hotel Balaguer
671,palauig,PH,83.21,scattered clouds,15.435,119.9045,Myhousebythesea
674,dong hoi,VN,83.59,scattered clouds,17.4833,106.6,Nam Long Hotel
675,quatre cocos,MU,75.31,clear sky,-20.2078,57.7625,Emeraude Beach Attitude Hotel
677,kulhudhuffushi,MV,83.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
684,korla,CN,78.42,scattered clouds,41.7597,86.1469,Gulisitan Hotel
686,batticaloa,LK,83.53,scattered clouds,7.7102,81.6924,Grand Star Guest House
689,pompeu,BR,85.06,broken clouds,-19.2244,-44.9353,
